sn,ses,run,trial,object,n_cubes,stimulus_type,task_version,scaffold,rotation_speed,start_orientation,end_orientation,angle,#VALUE!,same_mirror,stim_dur_ms,isi_ms,iti_ms,trial_dur_ms,start_time,end_time,has_rest_after,rest_after_ms,order_1,stim1_name,stim2_name,condition,show_feedback,feedback_dur_ms
sub-01,1,3,1,42,10,training_only,active_vis,late,60,90,270,50,220,mirror,3000,1000,500,8000,0,8000,FALSE,0,1,polycubes_stim42_3_2_3_2.obj,polycubes_stim42_3_2_3_2.obj,ordered,TRUE,500
sub-01,1,3,2,38,11,trained_shared,active_vis,late,60,190,10,150,-140,mirror,3000,1000,500,8000,8000,16000,FALSE,0,1,polycubes_stim38_3_3_3_2.obj,polycubes_stim38_3_3_3_2.obj,ordered,TRUE,500
sub-01,1,3,3,37,10,trained_shared,active_vis,late,60,90,270,50,220,mirror,3000,1000,500,8000,16000,24000,FALSE,0,1,polycubes_stim37_2_2_4_2.obj,polycubes_stim37_2_2_4_2.obj,ordered,TRUE,500
sub-01,1,3,4,45,11,trained_shared,active_vis,late,60,0,180,0,180,same,3000,1000,500,8000,24000,32000,FALSE,0,1,polycubes_stim45_4_2_2_3.obj,polycubes_stim45_4_2_2_3.obj,ordered,TRUE,500
sub-01,1,3,5,181,12,trained_shared,active_vis,late,60,190,10,150,-140,same,3000,1000,500,8000,32000,40000,FALSE,0,1,polycubes_stim181_4_2_3_3.obj,polycubes_stim181_4_2_3_3.obj,ordered,TRUE,500
sub-01,1,3,6,109,11,training_only,active_vis,late,60,0,180,0,180,same,3000,1000,500,8000,40000,48000,FALSE,0,1,polycubes_stim109_3_2_3_3.obj,polycubes_stim109_3_2_3_3.obj,ordered,TRUE,500
sub-01,1,3,7,95,12,training_only,active_vis,late,60,140,320,100,220,mirror,3000,1000,500,8000,48000,56000,FALSE,0,1,polycubes_stim95_2_4_2_4.obj,polycubes_stim95_2_4_2_4.obj,ordered,TRUE,500
sub-01,1,3,8,186,12,trained_shared,active_vis,late,60,190,10,150,-140,mirror,3000,1000,500,8000,56000,64000,FALSE,0,1,polycubes_stim186_4_2_4_2.obj,polycubes_stim186_4_2_4_2.obj,ordered,TRUE,500
sub-01,1,3,9,35,10,training_only,active_vis,late,60,0,180,0,180,mirror,3000,1000,500,8000,64000,72000,FALSE,0,1,polycubes_stim35_2_3_2_3.obj,polycubes_stim35_2_3_2_3.obj,ordered,TRUE,500
sub-01,1,3,10,144,12,trained_shared,active_vis,late,60,0,180,0,180,mirror,3000,1000,500,8000,72000,80000,FALSE,0,1,polycubes_stim144_3_4_3_2.obj,polycubes_stim144_3_4_3_2.obj,ordered,TRUE,500
sub-01,1,3,11,74,11,trained_shared,active_vis,late,60,0,180,0,180,mirror,3000,1000,500,8000,80000,88000,FALSE,0,1,polycubes_stim74_3_2_2_4.obj,polycubes_stim74_3_2_2_4.obj,ordered,TRUE,500
sub-01,1,3,12,125,11,trained_shared,active_vis,late,60,90,270,50,220,same,3000,1000,500,8000,88000,96000,FALSE,0,1,polycubes_stim125_2_3_2_4.obj,polycubes_stim125_2_3_2_4.obj,ordered,TRUE,500
sub-01,1,3,13,10,11,trained_shared,active_vis,late,60,140,320,100,220,mirror,3000,1000,500,8000,96000,104000,FALSE,0,1,polycubes_stim10_4_3_2_2.obj,polycubes_stim10_4_3_2_2.obj,ordered,TRUE,500
sub-01,1,3,14,90,11,training_only,active_vis,late,60,190,10,150,-140,same,3000,1000,500,8000,104000,112000,FALSE,0,1,polycubes_stim90_2_3_3_3.obj,polycubes_stim90_2_3_3_3.obj,ordered,TRUE,500
sub-01,1,3,15,56,10,training_only,active_vis,late,60,0,180,0,180,mirror,3000,1000,500,8000,112000,120000,FALSE,0,1,polycubes_stim56_2_4_2_2.obj,polycubes_stim56_2_4_2_2.obj,ordered,TRUE,500
sub-01,1,3,16,103,11,training_only,active_vis,late,60,0,180,0,180,same,3000,1000,500,8000,120000,128000,FALSE,0,1,polycubes_stim103_3_2_4_2.obj,polycubes_stim103_3_2_4_2.obj,ordered,TRUE,500
sub-01,1,3,17,106,12,training_only,active_vis,late,60,140,320,100,220,same,3000,1000,500,8000,128000,136000,FALSE,0,1,polycubes_stim106_2_3_4_3.obj,polycubes_stim106_2_3_4_3.obj,ordered,TRUE,500
sub-01,1,3,18,45,11,trained_shared,active_vis,late,60,140,320,100,220,same,3000,1000,500,8000,136000,144000,FALSE,0,1,polycubes_stim45_4_2_2_3.obj,polycubes_stim45_4_2_2_3.obj,ordered,TRUE,500
sub-01,1,3,19,163,11,training_only,active_vis,late,60,0,180,0,180,mirror,3000,1000,500,8000,144000,152000,FALSE,0,1,polycubes_stim163_3_2_2_4.obj,polycubes_stim163_3_2_2_4.obj,ordered,TRUE,500
sub-01,1,3,20,37,10,trained_shared,active_vis,late,60,140,320,100,220,same,3000,1000,500,8000,152000,160000,TRUE,5000,1,polycubes_stim37_2_2_4_2.obj,polycubes_stim37_2_2_4_2.obj,ordered,TRUE,500
sub-01,1,3,21,64,10,trained_shared,active_vis,late,60,140,320,100,220,same,3000,1000,500,8000,165000,173000,FALSE,0,1,polycubes_stim64_2_3_2_3.obj,polycubes_stim64_2_3_2_3.obj,ordered,TRUE,500
sub-01,1,3,22,22,10,training_only,active_vis,late,60,140,320,100,220,mirror,3000,1000,500,8000,173000,181000,FALSE,0,1,polycubes_stim22_2_2_2_4.obj,polycubes_stim22_2_2_2_4.obj,ordered,TRUE,500
sub-01,1,3,23,21,10,trained_shared,active_vis,late,60,140,320,100,220,mirror,3000,1000,500,8000,181000,189000,FALSE,0,1,polycubes_stim21_3_2_2_3.obj,polycubes_stim21_3_2_2_3.obj,ordered,TRUE,500
sub-01,1,3,24,38,11,trained_shared,active_vis,late,60,190,10,150,-140,same,3000,1000,500,8000,189000,197000,FALSE,0,1,polycubes_stim38_3_3_3_2.obj,polycubes_stim38_3_3_3_2.obj,ordered,TRUE,500
sub-01,1,3,25,105,12,trained_shared,active_vis,late,60,90,270,50,220,same,3000,1000,500,8000,197000,205000,FALSE,0,1,polycubes_stim105_4_2_3_3.obj,polycubes_stim105_4_2_3_3.obj,ordered,TRUE,500
sub-01,1,3,26,48,10,trained_shared,active_vis,late,60,190,10,150,-140,mirror,3000,1000,500,8000,205000,213000,FALSE,0,1,polycubes_stim48_2_2_3_3.obj,polycubes_stim48_2_2_3_3.obj,ordered,TRUE,500
sub-01,1,3,27,19,10,trained_shared,active_vis,late,60,0,180,0,180,same,3000,1000,500,8000,213000,221000,FALSE,0,1,polycubes_stim19_3_2_3_2.obj,polycubes_stim19_3_2_3_2.obj,ordered,TRUE,500
sub-01,1,3,28,96,11,training_only,active_vis,late,60,190,10,150,-140,mirror,3000,1000,500,8000,221000,229000,FALSE,0,1,polycubes_stim96_3_2_2_4.obj,polycubes_stim96_3_2_2_4.obj,ordered,TRUE,500
sub-01,1,3,29,177,12,trained_shared,active_vis,late,60,140,320,100,220,mirror,3000,1000,500,8000,229000,237000,FALSE,0,1,polycubes_stim177_3_2_4_3.obj,polycubes_stim177_3_2_4_3.obj,ordered,TRUE,500
sub-01,1,3,30,118,12,training_only,active_vis,late,60,0,180,0,180,mirror,3000,1000,500,8000,237000,245000,FALSE,0,1,polycubes_stim118_4_3_2_3.obj,polycubes_stim118_4_3_2_3.obj,ordered,TRUE,500
sub-01,1,3,31,145,12,trained_shared,active_vis,late,60,140,320,100,220,same,3000,1000,500,8000,245000,253000,FALSE,0,1,polycubes_stim145_4_4_2_2.obj,polycubes_stim145_4_4_2_2.obj,ordered,TRUE,500
sub-01,1,3,32,186,12,trained_shared,active_vis,late,60,90,270,50,220,mirror,3000,1000,500,8000,253000,261000,FALSE,0,1,polycubes_stim186_4_2_4_2.obj,polycubes_stim186_4_2_4_2.obj,ordered,TRUE,500
sub-01,1,3,33,143,11,trained_shared,active_vis,late,60,0,180,0,180,mirror,3000,1000,500,8000,261000,269000,FALSE,0,1,polycubes_stim143_2_4_2_3.obj,polycubes_stim143_2_4_2_3.obj,ordered,TRUE,500
sub-01,1,3,34,21,10,trained_shared,active_vis,late,60,140,320,100,220,mirror,3000,1000,500,8000,269000,277000,FALSE,0,1,polycubes_stim21_3_2_2_3.obj,polycubes_stim21_3_2_2_3.obj,ordered,TRUE,500
sub-01,1,3,35,172,12,training_only,active_vis,late,60,140,320,100,220,mirror,3000,1000,500,8000,277000,285000,FALSE,0,1,polycubes_stim172_2_3_3_4.obj,polycubes_stim172_2_3_3_4.obj,ordered,TRUE,500
