sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	stim2_orientation	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	1	5	1	134	12	trained_shared	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim134_2_4_3_3.obj	polycubes_stim134_2_4_3_3.obj	ordered	True	500
sub-01	1	5	2	41	11	novel_test	passive	none	0	0	0	50	50	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim41_2_2_3_4.obj	polycubes_stim41_2_2_3_4.obj	ordered	True	500
sub-01	1	5	3	128	12	novel_test	passive	none	0	0	0	50	50	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim128_3_4_2_3.obj	polycubes_stim128_3_4_2_3.obj	ordered	True	500
sub-01	1	5	4	171	12	novel_test	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim171_2_4_4_2.obj	polycubes_stim171_2_4_4_2.obj	ordered	True	500
sub-01	1	5	5	175	12	trained_shared	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim175_4_2_2_4.obj	polycubes_stim175_4_2_2_4.obj	ordered	True	500
sub-01	1	5	6	111	11	novel_test	passive	none	0	0	0	100	100	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim111_3_4_2_2.obj	polycubes_stim111_3_4_2_2.obj	ordered	True	500
sub-01	1	5	7	28	11	novel_test	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim28_2_2_4_3.obj	polycubes_stim28_2_2_4_3.obj	ordered	True	500
sub-01	1	5	8	156	11	trained_shared	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim156_2_2_3_4.obj	polycubes_stim156_2_2_3_4.obj	ordered	True	500
sub-01	1	5	9	100	11	trained_shared	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim100_2_3_4_2.obj	polycubes_stim100_2_3_4_2.obj	ordered	True	500
sub-01	1	5	10	63	11	novel_test	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim63_2_3_4_2.obj	polycubes_stim63_2_3_4_2.obj	ordered	True	500
sub-01	1	5	11	149	11	trained_shared	passive	none	0	0	0	150	150	same	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim149_2_4_3_2.obj	polycubes_stim149_2_4_3_2.obj	ordered	True	500
sub-01	1	5	12	41	11	novel_test	passive	none	0	0	0	0	0	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim41_2_2_3_4.obj	polycubes_stim41_2_2_3_4.obj	ordered	True	500
sub-01	1	5	13	51	10	trained_shared	passive	none	0	0	0	150	150	same	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim51_2_2_2_4.obj	polycubes_stim51_2_2_2_4.obj	ordered	True	500
sub-01	1	5	14	101	12	trained_shared	passive	none	0	0	0	100	100	same	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim101_4_3_2_3.obj	polycubes_stim101_4_3_2_3.obj	ordered	True	500
sub-01	1	5	15	148	12	novel_test	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim148_3_2_3_4.obj	polycubes_stim148_3_2_3_4.obj	ordered	True	500
sub-01	1	5	16	21	10	trained_shared	passive	none	0	0	0	50	50	same	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim21_3_2_2_3.obj	polycubes_stim21_3_2_2_3.obj	ordered	True	500
sub-01	1	5	17	187	12	trained_shared	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim187_4_2_2_4.obj	polycubes_stim187_4_2_2_4.obj	ordered	True	500
sub-01	1	5	18	128	12	novel_test	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim128_3_4_2_3.obj	polycubes_stim128_3_4_2_3.obj	ordered	True	500
sub-01	1	5	19	24	11	trained_shared	passive	none	0	0	0	100	100	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim24_2_3_3_3.obj	polycubes_stim24_2_3_3_3.obj	ordered	True	500
sub-01	1	5	20	60	10	trained_shared	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim60_2_2_3_3.obj	polycubes_stim60_2_2_3_3.obj	ordered	True	500
sub-01	1	5	21	144	12	novel_test	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim144_3_4_3_2.obj	polycubes_stim144_3_4_3_2.obj	ordered	True	500
sub-01	1	5	22	79	11	novel_test	passive	none	0	0	0	150	150	same	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim79_2_2_4_3.obj	polycubes_stim79_2_2_4_3.obj	ordered	True	500
