sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	1	8	1	70	11	trained_shared	passive	none	0	0	50	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim70_3_3_3_2.obj	polycubes_stim70_3_3_3_2.obj	ordered	True	500
sub-01	1	8	2	26	10	trained_shared	passive	none	0	0	150	mirror	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim26_2_4_2_2.obj	polycubes_stim26_2_4_2_2.obj	ordered	True	500
sub-01	1	8	3	177	12	trained_shared	passive	none	0	0	100	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim177_3_2_4_3.obj	polycubes_stim177_3_2_4_3.obj	ordered	True	500
sub-01	1	8	4	173	12	novel_test	passive	none	0	0	100	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim173_2_4_2_4.obj	polycubes_stim173_2_4_2_4.obj	ordered	True	500
sub-01	1	8	5	138	12	novel_test	passive	none	0	0	50	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim138_3_3_2_4.obj	polycubes_stim138_3_3_2_4.obj	ordered	True	500
sub-01	1	8	6	35	10	trained_shared	passive	none	0	0	50	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim35_2_3_2_3.obj	polycubes_stim35_2_3_2_3.obj	ordered	True	500
sub-01	1	8	7	14	10	trained_shared	passive	none	0	0	0	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim14_2_3_3_2.obj	polycubes_stim14_2_3_3_2.obj	ordered	True	500
sub-01	1	8	8	168	12	novel_test	passive	none	0	0	100	mirror	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim168_3_4_2_3.obj	polycubes_stim168_3_4_2_3.obj	ordered	True	500
sub-01	1	8	9	167	12	trained_shared	passive	none	0	0	50	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim167_2_2_4_4.obj	polycubes_stim167_2_2_4_4.obj	ordered	True	500
sub-01	1	8	10	179	12	trained_shared	passive	none	0	0	100	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim179_3_2_3_4.obj	polycubes_stim179_3_2_3_4.obj	ordered	True	500
sub-01	1	8	11	178	12	novel_test	passive	none	0	0	50	same	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim178_2_3_3_4.obj	polycubes_stim178_2_3_3_4.obj	ordered	True	500
sub-01	1	8	12	79	11	trained_shared	passive	none	0	0	100	mirror	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim79_2_2_4_3.obj	polycubes_stim79_2_2_4_3.obj	ordered	True	500
sub-01	1	8	13	38	11	trained_shared	passive	none	0	0	50	same	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim38_3_3_3_2.obj	polycubes_stim38_3_3_3_2.obj	ordered	True	500
sub-01	1	8	14	183	12	novel_test	passive	none	0	0	100	same	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim183_2_4_3_3.obj	polycubes_stim183_2_4_3_3.obj	ordered	True	500
sub-01	1	8	15	28	11	trained_shared	passive	none	0	0	100	same	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim28_2_2_4_3.obj	polycubes_stim28_2_2_4_3.obj	ordered	True	500
sub-01	1	8	16	34	11	novel_test	passive	none	0	0	150	same	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim34_2_4_2_3.obj	polycubes_stim34_2_4_2_3.obj	ordered	True	500
sub-01	1	8	17	17	10	trained_shared	passive	none	0	0	50	same	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim17_2_3_2_3.obj	polycubes_stim17_2_3_2_3.obj	ordered	True	500
sub-01	1	8	18	158	12	novel_test	passive	none	0	0	150	mirror	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim158_4_2_3_3.obj	polycubes_stim158_4_2_3_3.obj	ordered	True	500
sub-01	1	8	19	92	10	trained_shared	passive	none	0	0	100	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim92_2_2_3_3.obj	polycubes_stim92_2_2_3_3.obj	ordered	True	500
sub-01	1	8	20	62	11	novel_test	passive	none	0	0	50	mirror	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim62_2_2_3_4.obj	polycubes_stim62_2_2_3_4.obj	ordered	True	500
