sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-02	1	2	1	187	12	training_only	active_vis	late	60	0	180	0	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim187_4_2_2_4.obj	polycubes_stim187_4_2_2_4.obj	ordered	True	500
sub-02	1	2	2	154	12	training_only	active_vis	late	60	90	270	50	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim154_4_3_3_2.obj	polycubes_stim154_4_3_3_2.obj	ordered	True	500
sub-02	1	2	3	141	12	training_only	active_vis	late	60	90	270	50	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim141_3_3_2_4.obj	polycubes_stim141_3_3_2_4.obj	ordered	True	500
sub-02	1	2	4	11	11	trained_shared	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim11_4_2_3_2.obj	polycubes_stim11_4_2_3_2.obj	ordered	True	500
sub-02	1	2	5	17	10	trained_shared	active_vis	late	60	0	180	0	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim17_2_3_2_3.obj	polycubes_stim17_2_3_2_3.obj	ordered	True	500
sub-02	1	2	6	96	11	trained_shared	active_vis	late	60	190	10	150	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim96_3_2_2_4.obj	polycubes_stim96_3_2_2_4.obj	ordered	True	500
sub-02	1	2	7	20	11	training_only	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim20_2_4_2_3.obj	polycubes_stim20_2_4_2_3.obj	ordered	True	500
sub-02	1	2	8	11	11	trained_shared	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim11_4_2_3_2.obj	polycubes_stim11_4_2_3_2.obj	ordered	True	500
sub-02	1	2	9	34	11	trained_shared	active_vis	late	60	140	320	100	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim34_2_4_2_3.obj	polycubes_stim34_2_4_2_3.obj	ordered	True	500
sub-02	1	2	10	129	11	training_only	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim129_2_2_4_3.obj	polycubes_stim129_2_2_4_3.obj	ordered	True	500
sub-02	1	2	11	61	12	training_only	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim61_4_2_2_4.obj	polycubes_stim61_4_2_2_4.obj	ordered	True	500
sub-02	1	2	12	150	11	training_only	active_vis	late	60	190	10	150	mirror	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim150_2_2_4_3.obj	polycubes_stim150_2_2_4_3.obj	ordered	True	500
sub-02	1	2	13	34	11	trained_shared	active_vis	late	60	190	10	150	same	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim34_2_4_2_3.obj	polycubes_stim34_2_4_2_3.obj	ordered	True	500
sub-02	1	2	14	61	12	training_only	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim61_4_2_2_4.obj	polycubes_stim61_4_2_2_4.obj	ordered	True	500
sub-02	1	2	15	90	11	trained_shared	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim90_2_3_3_3.obj	polycubes_stim90_2_3_3_3.obj	ordered	True	500
sub-02	1	2	16	7	10	training_only	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim7_3_2_3_2.obj	polycubes_stim7_3_2_3_2.obj	ordered	True	500
sub-02	1	2	17	198	12	training_only	active_vis	late	60	0	180	0	same	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim198_3_3_2_4.obj	polycubes_stim198_3_3_2_4.obj	ordered	True	500
sub-02	1	2	18	168	12	training_only	active_vis	late	60	90	270	50	same	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim168_3_4_2_3.obj	polycubes_stim168_3_4_2_3.obj	ordered	True	500
