sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	1	8	1	197	12	trained_shared	passive	none	0	0	100	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim197_4_2_2_4.obj	polycubes_stim197_4_2_2_4.obj	ordered	False	500
sub-01	1	8	2	121	12	trained_shared	passive	none	0	0	50	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim121_4_2_4_2.obj	polycubes_stim121_4_2_4_2.obj	ordered	False	500
sub-01	1	8	3	146	11	novel_test	passive	none	0	0	50	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim146_2_4_3_2.obj	polycubes_stim146_2_4_3_2.obj	ordered	False	500
sub-01	1	8	4	13	10	trained_shared	passive	none	0	0	0	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim13_2_2_4_2.obj	polycubes_stim13_2_2_4_2.obj	ordered	False	500
sub-01	1	8	5	23	12	novel_test	passive	none	0	0	150	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim23_3_4_3_2.obj	polycubes_stim23_3_4_3_2.obj	ordered	False	500
sub-01	1	8	6	33	11	novel_test	passive	none	0	0	100	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim33_2_4_2_3.obj	polycubes_stim33_2_4_2_3.obj	ordered	False	500
sub-01	1	8	7	170	12	novel_test	passive	none	0	0	150	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim170_2_4_4_2.obj	polycubes_stim170_2_4_4_2.obj	ordered	False	500
sub-01	1	8	8	33	11	novel_test	passive	none	0	0	100	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim33_2_4_2_3.obj	polycubes_stim33_2_4_2_3.obj	ordered	False	500
sub-01	1	8	9	85	11	novel_test	passive	none	0	0	100	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim85_2_4_3_2.obj	polycubes_stim85_2_4_3_2.obj	ordered	False	500
sub-01	1	8	10	159	12	novel_test	passive	none	0	0	100	same	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim159_3_2_4_3.obj	polycubes_stim159_3_2_4_3.obj	ordered	False	500
sub-01	1	8	11	128	12	novel_test	passive	none	0	0	150	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim128_3_4_2_3.obj	polycubes_stim128_3_4_2_3.obj	ordered	False	500
sub-01	1	8	12	94	10	trained_shared	passive	none	0	0	0	mirror	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim94_2_3_2_3.obj	polycubes_stim94_2_3_2_3.obj	ordered	False	500
