sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	2	5	1	3	11	novel_test	passive	none	0	0	0	0	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim3_2_2_3_4.obj	polycubes_stim3_2_2_3_4.obj	ordered	True	500
sub-01	2	5	2	142	12	trained_shared	passive	none	0	0	0	150	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim142_2_3_4_3.obj	polycubes_stim142_2_3_4_3.obj	ordered	True	500
sub-01	2	5	3	52	10	trained_shared	passive	none	0	0	0	50	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim52_2_3_2_3.obj	polycubes_stim52_2_3_2_3.obj	ordered	True	500
sub-01	2	5	4	74	11	trained_shared	passive	none	0	0	0	0	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim74_3_2_2_4.obj	polycubes_stim74_3_2_2_4.obj	ordered	True	500
sub-01	2	5	5	48	10	trained_shared	passive	none	0	0	0	50	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim48_2_2_3_3.obj	polycubes_stim48_2_2_3_3.obj	ordered	True	500
sub-01	2	5	6	174	12	trained_shared	passive	none	0	0	0	50	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim174_2_2_4_4.obj	polycubes_stim174_2_2_4_4.obj	ordered	True	500
sub-01	2	5	7	58	10	trained_shared	passive	none	0	0	0	100	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim58_2_2_3_3.obj	polycubes_stim58_2_2_3_3.obj	ordered	True	500
sub-01	2	5	8	85	11	novel_test	passive	none	0	0	0	0	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim85_2_4_3_2.obj	polycubes_stim85_2_4_3_2.obj	ordered	True	500
sub-01	2	5	9	131	11	novel_test	passive	none	0	0	0	100	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim131_2_4_3_2.obj	polycubes_stim131_2_4_3_2.obj	ordered	True	500
sub-01	2	5	10	63	11	novel_test	passive	none	0	0	0	150	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim63_2_3_4_2.obj	polycubes_stim63_2_3_4_2.obj	ordered	True	500
sub-01	2	5	11	39	11	trained_shared	passive	none	0	0	0	150	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim39_2_3_3_3.obj	polycubes_stim39_2_3_3_3.obj	ordered	True	500
sub-01	2	5	12	174	12	trained_shared	passive	none	0	0	0	150	same	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim174_2_2_4_4.obj	polycubes_stim174_2_2_4_4.obj	ordered	True	500
sub-01	2	5	13	182	12	novel_test	passive	none	0	0	0	100	mirror	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim182_2_4_2_4.obj	polycubes_stim182_2_4_2_4.obj	ordered	True	500
sub-01	2	5	14	182	12	novel_test	passive	none	0	0	0	150	mirror	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim182_2_4_2_4.obj	polycubes_stim182_2_4_2_4.obj	ordered	True	500
