sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-03	1	2	1	186	12	trained	active_vis	late	60	0	180	0	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim186_4_2_2_4.obj	polycubes_stim186_4_2_2_4.obj	ordered	True	500	-0.8688510060310364	0.2850054502487182	0.4657923579216003
sub-03	1	2	2	109	11	trained	active_vis	late	60	190	10	150	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim109_3_4_2_2.obj	polycubes_stim109_3_4_2_2.obj	ordered	True	500	-0.1488200426101684	0.2489512264728546	-0.2032502293586731
sub-03	1	2	3	14	10	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim014_2_2_4_2.obj	polycubes_stim014_2_2_4_2.obj	ordered	True	500	0.2514331936836242	-0.040862962603569	-0.1936442255973816
sub-03	1	2	4	75	11	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim075_2_3_3_3.obj	polycubes_stim075_2_3_3_3.obj	ordered	True	500	-0.1507512032985687	-0.3208411931991577	0.604489266872406
sub-03	1	2	5	140	12	trained	active_vis	late	60	90	270	50	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim140_4_2_3_3.obj	polycubes_stim140_4_2_3_3.obj	ordered	True	500	-0.4416289925575256	-0.1876648068428039	0.7070271968841553
sub-03	1	2	6	129	12	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim129_2_3_3_4.obj	polycubes_stim129_2_3_3_4.obj	ordered	True	500	-0.3150979876518249	-0.0464306995272636	0.3807609379291534
sub-03	1	2	7	159	12	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim159_2_3_4_3.obj	polycubes_stim159_2_3_4_3.obj	ordered	True	500	-0.2200651466846466	0.0915115922689437	0.090648166835308
sub-03	1	2	8	144	12	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim144_4_3_3_2.obj	polycubes_stim144_4_3_3_2.obj	ordered	True	500	-0.0312116742134094	0.291191428899765	-0.3805952668190002
sub-03	1	2	9	109	11	trained	active_vis	late	60	140	320	100	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim109_3_4_2_2.obj	polycubes_stim109_3_4_2_2.obj	ordered	True	500	-0.1488200426101684	0.2489512264728546	-0.2032502293586731
sub-03	1	2	10	206	12	trained	active_vis	late	60	0	180	0	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim206_2_4_2_4.obj	polycubes_stim206_2_4_2_4.obj	ordered	True	500	1.002625823020935	-0.9293920397758484	0.311733216047287
