sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	stim2_orientation	angular_disparity	direction	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-04	1	3	1	28	9	trained	active_sen	none	60	0	0	150	150	0	50	same	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim028_2_2_2_3.obj	polycubes_stim028_2_2_2_3.obj	ordered	True	500	0.1599613428115844	-0.5028956532478333	0.5512406229972839
sub-04	1	3	2	193	12	trained	active_sen	none	60	0	0	150	150	0	150	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim193_2_3_4_3.obj	polycubes_stim193_2_3_4_3.obj	ordered	True	500	0.1088163405656814	0.2050309926271438	-0.3987740278244018
sub-04	1	3	3	193	12	trained	active_sen	none	60	0	0	150	150	0	100	same	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim193_2_3_4_3.obj	polycubes_stim193_2_3_4_3.obj	ordered	True	500	0.1088163405656814	0.2050309926271438	-0.3987740278244018
sub-04	1	3	4	128	12	trained	active_sen	none	60	0	0	150	150	0	150	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim128_4_4_2_2.obj	polycubes_stim128_4_4_2_2.obj	ordered	True	500	-0.2279359847307205	-0.1800999194383621	0.4826357960700989
sub-04	1	3	5	29	10	trained	active_sen	none	60	0	0	150	150	0	150	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim029_2_3_3_2.obj	polycubes_stim029_2_3_3_2.obj	ordered	True	500	-0.2166040241718292	0.1285159289836883	0.0348550379276275
sub-04	1	3	6	153	12	trained	active_sen	none	60	0	0	150	150	0	150	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim153_3_3_3_3.obj	polycubes_stim153_3_3_3_3.obj	ordered	True	500	0.3974649012088775	-0.1756386160850525	-0.1490743160247802
sub-04	1	3	7	8	9	trained	active_sen	none	60	0	0	150	150	0	0	same	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim008_2_2_3_2.obj	polycubes_stim008_2_2_3_2.obj	ordered	True	500	0.0716556161642074	0.3407922983169555	-0.5536088347434998
sub-04	1	3	8	116	12	trained	active_sen	none	60	0	0	150	150	0	50	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim116_3_3_4_2.obj	polycubes_stim116_3_3_4_2.obj	ordered	True	500	0.4728405177593231	-0.4947326481342315	0.2268172204494476
sub-04	1	3	9	113	10	trained	active_sen	none	60	0	0	150	150	0	150	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim113_2_3_2_3.obj	polycubes_stim113_2_3_2_3.obj	ordered	True	500	0.0936450660228729	0.1901207268238067	-0.3625164628028869
sub-04	1	3	10	38	10	trained	active_sen	none	60	0	0	150	150	0	0	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim038_3_2_2_3.obj	polycubes_stim038_3_2_2_3.obj	ordered	True	500	-0.1652598679065704	-0.1828604638576507	0.4238636791706085
