sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-04s	2	5	1	69	11	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	0	3750	False	0	1	polycubes_stim069_2_3_4_2.obj	ordered	False	0	0.3907771110534668	-0.3443238139152527	0.0961703360080719
sub-04s	2	5	2	44	10	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	3750	7500	False	0	1	polycubes_stim044_3_2_2_3.obj	ordered	False	0	0.2850356101989746	-0.12315334379673	-0.1108704358339309
sub-04s	2	5	3	172	11	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	7500	11250	False	0	1	polycubes_stim172_2_2_3_4.obj	ordered	False	0	0.3018715679645538	-0.3695334792137146	0.2207277715206146
sub-04s	2	5	4	100	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	11250	15000	False	0	1	polycubes_stim100_3_4_2_3.obj	ordered	False	0	-0.4201372265815735	-0.1982679218053817	0.7005304098129272
sub-04s	2	5	5	171	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	15000	18750	False	0	1	polycubes_stim171_4_2_2_4.obj	ordered	False	0	0.5744391083717346	-0.2319884449243545	-0.2463578581809997
sub-04s	2	5	6	121	10	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	18750	22500	False	0	1	polycubes_stim121_2_4_2_2.obj	ordered	False	0	-0.6469041109085083	0.4469183981418609	0.0148659646511077
sub-04s	2	5	7	163	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	22500	26250	False	0	1	polycubes_stim163_4_2_3_3.obj	ordered	False	0	0.7052705883979797	-0.1612925976514816	-0.4771683812141418
sub-04s	2	5	8	13	10	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	26250	30000	False	0	1	polycubes_stim013_3_2_2_3.obj	ordered	False	0	-0.8277787566184998	0.3718755841255188	0.301867127418518
sub-04s	2	5	9	180	11	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	30000	33750	False	0	1	polycubes_stim180_2_3_4_2.obj	ordered	False	0	0.1320619583129882	-0.2104934453964233	0.1656207740306854
sub-04s	2	5	10	174	11	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	33750	37500	False	0	1	polycubes_stim174_2_4_2_3.obj	ordered	False	0	0.2757171392440796	-0.1373978406190872	-0.081407219171524
sub-04s	2	5	11	110	11	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	37500	41250	False	0	1	polycubes_stim110_2_2_4_3.obj	ordered	False	0	-0.233584389090538	-0.043408565223217	0.2949734032154083
sub-04s	2	5	12	202	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	41250	45000	False	0	1	polycubes_stim202_4_2_4_2.obj	ordered	False	0	0.2247802317142486	-0.0331270992755889	-0.1779314279556274
sub-04s	2	5	13	42	10	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	45000	48750	False	0	1	polycubes_stim042_2_3_3_2.obj	ordered	False	0	0.012475848197937	-0.1577228605747223	0.2105779945850372
sub-04s	2	5	14	41	10	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	48750	52500	False	0	1	polycubes_stim041_2_2_3_3.obj	ordered	False	0	0.5218170881271362	-0.0303658600896596	-0.4788733124732971
sub-04s	2	5	15	19	9	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	52500	56250	False	0	1	polycubes_stim019_2_2_3_2.obj	ordered	False	0	-0.0426199808716774	0.2212005108594894	-0.2702048420906067
sub-04s	2	5	16	87	9	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	56250	60000	False	0	1	polycubes_stim087_2_3_2_2.obj	ordered	False	0	-0.0162021331489086	0.0973841324448585	-0.1215198561549186
sub-04s	2	5	17	207	11	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	60000	63750	False	0	1	polycubes_stim207_3_2_2_4.obj	ordered	False	0	-0.016880914568901	0.2557425796985626	-0.3447937965393066
sub-04s	2	5	18	95	11	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	63750	67500	False	0	1	polycubes_stim095_2_3_2_4.obj	ordered	False	0	0.8031518459320068	-0.1323577612638473	-0.615969717502594
sub-04s	2	5	19	176	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	67500	71250	False	0	1	polycubes_stim176_3_2_3_4.obj	ordered	False	0	-0.6371347904205322	-0.1560458242893219	0.8578169345855713
sub-04s	2	5	20	144	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	71250	75000	False	0	1	polycubes_stim144_4_3_3_2.obj	ordered	False	0	-0.0312116742134094	0.291191428899765	-0.3805952668190002
sub-04s	2	5	21	149	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	75000	78750	False	0	1	polycubes_stim149_2_4_4_2.obj	ordered	False	0	0.5072777271270752	-0.3027008473873138	-0.0791940689086914
sub-04s	2	5	22	185	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	78750	82500	False	0	1	polycubes_stim185_2_4_3_3.obj	ordered	False	0	0.5964540243148804	-0.1956858485937118	-0.3197124004364013
sub-04s	2	5	23	15	9	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	82500	86250	False	0	1	polycubes_stim015_2_2_3_2.obj	ordered	False	0	-0.16619773209095	-0.2325808256864547	0.4951167106628418
sub-04s	2	5	24	159	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	86250	90000	False	0	1	polycubes_stim159_2_3_4_3.obj	ordered	False	0	-0.2200651466846466	0.0915115922689437	0.090648166835308
sub-04s	2	5	25	187	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	90000	93750	False	0	1	polycubes_stim187_2_4_2_4.obj	ordered	False	0	-0.0066727846860885	0.2543078064918518	-0.3529728651046753
sub-04s	2	5	26	143	11	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	93750	97500	False	0	1	polycubes_stim143_2_2_4_3.obj	ordered	False	0	-0.5760364532470703	0.0418066717684268	0.5169128775596619
sub-04s	2	5	27	190	11	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	97500	101250	False	0	1	polycubes_stim190_2_2_3_4.obj	ordered	False	0	0.0453118532896041	-0.3725363314151764	0.4815342128276825
sub-04s	2	5	28	93	10	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	101250	105000	False	0	1	polycubes_stim093_2_4_2_2.obj	ordered	False	0	-0.119750864803791	0.3353261649608612	-0.3544720411300659
sub-04s	2	5	29	36	11	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	105000	108750	False	0	1	polycubes_stim036_3_2_2_4.obj	ordered	False	0	-0.0389313697814941	-0.4943221807479858	0.7380086183547974
sub-04s	2	5	30	86	11	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	108750	112500	False	0	1	polycubes_stim086_2_4_3_2.obj	ordered	False	0	0.1442571431398391	0.074870079755783	-0.250139445066452
sub-04s	2	5	31	153	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	112500	116250	False	0	1	polycubes_stim153_3_3_3_3.obj	ordered	False	0	0.3974649012088775	-0.1756386160850525	-0.1490743160247802
sub-04s	2	5	32	132	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	116250	120000	False	0	1	polycubes_stim132_3_2_3_4.obj	ordered	False	0	0.6378264427185059	-0.572300374507904	0.1715286374092102
sub-04s	2	5	33	43	11	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	120000	123750	False	0	1	polycubes_stim043_2_3_2_4.obj	ordered	False	0	-0.2388847470283508	0.0496216341853141	0.1687091588973999
sub-04s	2	5	34	61	9	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	123750	127500	False	0	1	polycubes_stim061_2_2_2_3.obj	ordered	False	0	0.2438110709190368	-0.1792860478162765	0.0097377225756645
sub-04s	2	5	35	16	9	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	127500	131250	False	0	1	polycubes_stim016_2_2_3_2.obj	ordered	False	0	-0.1685564517974853	0.3604185283184051	-0.3411524295806885
sub-04s	2	5	36	57	10	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	131250	135000	False	0	1	polycubes_stim057_3_3_2_2.obj	ordered	False	0	-0.3991706073284149	0.4485152065753937	-0.235125795006752
sub-04s	2	5	37	94	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	135000	138750	False	0	1	polycubes_stim094_4_2_3_3.obj	ordered	False	0	-0.2253549098968505	0.1514138877391815	0.0112233087420463
sub-04s	2	5	38	165	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	138750	142500	False	0	1	polycubes_stim165_4_3_3_2.obj	ordered	False	0	-0.2940860688686371	0.2539620995521545	-0.0650706142187118
sub-04s	2	5	39	115	10	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	142500	146250	False	0	1	polycubes_stim115_2_3_2_3.obj	ordered	False	0	-0.4059226512908935	0.2256512194871902	0.0868035703897476
sub-04s	2	5	40	175	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	146250	150000	False	0	1	polycubes_stim175_2_3_3_4.obj	ordered	False	0	0.772771418094635	0.1902472078800201	-1.0418217182159424
