sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	1	7	1	197	12	trained_shared	passive	none	0	0	0	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim197_4_2_2_4.obj	polycubes_stim197_4_2_2_4.obj	ordered	False	500
sub-01	1	7	2	18	10	trained_shared	passive	none	0	0	100	same	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim18_2_4_2_2.obj	polycubes_stim18_2_4_2_2.obj	ordered	False	500
sub-01	1	7	3	18	10	trained_shared	passive	none	0	0	100	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim18_2_4_2_2.obj	polycubes_stim18_2_4_2_2.obj	ordered	False	500
sub-01	1	7	4	125	11	trained_shared	passive	none	0	0	50	same	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim125_2_3_2_4.obj	polycubes_stim125_2_3_2_4.obj	ordered	False	500
sub-01	1	7	5	111	11	novel_test	passive	none	0	0	0	same	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim111_3_4_2_2.obj	polycubes_stim111_3_4_2_2.obj	ordered	False	500
sub-01	1	7	6	149	11	novel_test	passive	none	0	0	150	same	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim149_2_4_3_2.obj	polycubes_stim149_2_4_3_2.obj	ordered	False	500
sub-01	1	7	7	102	11	novel_test	passive	none	0	0	150	same	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim102_4_2_3_2.obj	polycubes_stim102_4_2_3_2.obj	ordered	False	500
sub-01	1	7	8	71	11	trained_shared	passive	none	0	0	50	same	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim71_3_3_2_3.obj	polycubes_stim71_3_3_2_3.obj	ordered	False	500
sub-01	1	7	9	18	10	trained_shared	passive	none	0	0	150	mirror	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim18_2_4_2_2.obj	polycubes_stim18_2_4_2_2.obj	ordered	False	500
sub-01	1	7	10	47	10	trained_shared	passive	none	0	0	100	mirror	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim47_4_2_2_2.obj	polycubes_stim47_4_2_2_2.obj	ordered	False	500
